Cluster,ClusterRank,deltaG,deltaGelec,deltaGvdw,deltaGligsolvnonpol,deltaGligsolvpol,deltaGprotsolvnonpol,deltaGprotsolvpol,deltaGcompsolvnonpol,deltaGcompsolvpol,extraFull,surfFull,solvFull,IntraFull,InterFull,FullFitness,SimpleFitness,Energy
0,0,-9.357755,0,-64.1338,8.42042,-9.36214,201.193,-1509.24,198.793,-1490.45,0,198.793,-1490.45,-22.7284,-64.1338,-1378.5192,-66.7418,-66.7418
0,1,-8.93535,0,-57.798,8.34979,-8.77717,201.193,-1509.24,198.647,-1492.64,0,198.647,-1492.64,-24.6218,-57.798,-1376.4128,-66.1554,-66.1554
0,2,-8.888344,0,-55.3591,9.29711,-7.63183,201.193,-1509.24,199.079,-1493.7,0,199.079,-1493.7,-17.2784,-55.3591,-1367.2584,-56.7718,-56.7718
0,3,-8.231877,0,-49.5506,8.7045,-8.84765,201.193,-1509.24,198.572,-1493.3,0,198.572,-1493.3,-21.2156,-49.5506,-1365.4943,-53.6071,-53.6071
0,4,-7.9784513,0,-40.9476,8.99564,-7.36504,201.193,-1509.24,198.789,-1500.86,0,198.789,-1500.86,-22.0212,-40.9476,-1365.0398,-55.1615,-55.1615
1,0,-8.883539,0,-54.0182,8.81996,-6.76805,201.193,-1509.24,198.731,-1495.03,0,198.731,-1495.03,-28.1987,-54.0182,-1378.516,-70.5968,-70.5968
1,1,-8.579187,0,-50.3236,8.9097,-7.64994,201.193,-1509.24,198.795,-1496.61,0,198.795,-1496.61,-23.1917,-50.3236,-1371.3302,-62.2888,-62.2888
2,0,-8.550922,0,-52.3999,8.47674,-8.60857,201.193,-1509.24,198.532,-1494.16,0,198.532,-1494.16,-29.5509,-52.3999,-1377.5789,-68.9529,-68.9529
2,1,-8.550922,0,-52.3999,8.47674,-8.60857,201.193,-1509.24,198.532,-1494.16,0,198.532,-1494.16,-29.5509,-52.3999,-1377.5789,-68.9529,-68.9529
2,2,-8.550922,0,-52.3999,8.47674,-8.60857,201.193,-1509.24,198.532,-1494.16,0,198.532,-1494.16,-29.5509,-52.3999,-1377.5789,-68.9529,-68.9529
2,3,-8.469255,0,-51.6144,8.49593,-8.63015,201.193,-1509.24,198.505,-1493.99,0,198.505,-1493.99,-29.5836,-51.6144,-1376.683,-68.1576,-68.1576
2,4,-8.469255,0,-51.6144,8.49593,-8.63015,201.193,-1509.24,198.505,-1493.99,0,198.505,-1493.99,-29.5836,-51.6144,-1376.683,-68.1576,-68.1576
2,5,-8.469255,0,-51.6144,8.49593,-8.63015,201.193,-1509.24,198.505,-1493.99,0,198.505,-1493.99,-29.5836,-51.6144,-1376.683,-68.1576,-68.1576
2,6,-8.44328,0,-51.4764,8.63614,-8.64156,201.193,-1509.24,198.658,-1493.81,0,198.658,-1493.81,-26.3505,-51.4764,-1372.979,-64.8048,-64.8048
2,7,-8.44328,0,-51.4764,8.63614,-8.64156,201.193,-1509.24,198.658,-1493.81,0,198.658,-1493.81,-26.3505,-51.4764,-1372.979,-64.8048,-64.8048
3,0,-8.381834,0,-42.0653,8.92544,-6.73415,201.193,-1509.24,198.536,-1504.81,0,198.536,-1504.81,-28.7914,-42.0653,-1377.1307,-64.5356,-64.5356
3,1,-8.372493,0,-41.933,8.92271,-6.75956,201.193,-1509.24,198.535,-1504.89,0,198.535,-1504.89,-28.7943,-41.933,-1377.0823,-64.5118,-64.5118
3,2,-8.421619,0,-45.901,8.70293,-6.05386,201.193,-1509.24,198.41,-1499,0,198.41,-1499,-23.6716,-45.901,-1370.1626,-57.8261,-57.8261
3,3,-7.476269,0,-37.9548,8.72226,-6.35664,201.193,-1509.24,198.566,-1496.35,0,198.566,-1496.35,-21.7786,-37.9548,-1357.5173,-47.8829,-47.8829
3,4,-7.3574185,0,-33.3937,9.08726,-7.42398,201.193,-1509.24,198.371,-1501.66,0,198.371,-1501.66,-18.7138,-33.3937,-1355.3966,-45.1891,-45.1891
4,0,-8.495793,0,-46.4916,8.57194,-7.15044,201.193,-1509.24,198.353,-1500.51,0,198.353,-1500.51,-28.457,-46.4916,-1377.1056,-62.1092,-62.1092
4,1,-8.495549,0,-46.4984,8.57154,-7.15122,201.193,-1509.24,198.355,-1500.5,0,198.355,-1500.5,-28.4562,-46.4984,-1377.0996,-62.1082,-62.1082
